time;Bx;By;Bz;BT
0,287351;671,50;2404,90;-102,40;2498,99
1,273935;530,60;2417,70;-80,40;2476,54
2,285588;539,40;2413,70;-88,70;2474,83
3,322846;2092,60;1797,20;-1333,10;3063,67
4,270870;-18,60;-1820,20;-1310,60;2243,02
5,270568;-2191,00;1528,90;-952,10;2836,28
6,270870;718,60;1776,20;-5,90;1916,07
7,271025;380,50;2284,40;-75,00;2317,09
8,271277;-2367,70;487,00;-1196,30;2697,09
9,271716;1250,80;-1195,30;-1648,30;2389,59
10,271845;1964,40;2316,20;-110,40;3039,05
11,275478;1951,90;2365,50;14,90;3066,88
12,272912;1312,40;-841,00;-1534,60;2187,39
13,273155;-2316,80;671,20;-1151,30;2672,74
14,273388;658,60;2326,70;108,60;2420,55
15,279536;997,20;1785,70;565,60;2122,04
16,279865;-2031,50;2154,10;-582,10;3017,61
17,279936;-35,70;-1079,90;-1542,00;1882,88
18,280467;1658,90;2060,90;-16,30;2645,66
19,281090;1575,70;2085,40;687,20;2702,59
20,281124;1567,00;538,00;-704,10;1800,19
21,290593;-1719,20;-38,10;-1271,20;2138,47
22,297746;125,00;2455,60;-15,10;2458,83
23,312519;1019,10;1069,40;1007,30;1787,97
24,286318;384,30;2450,50;-16,70;2480,51
25,303502;-1107,30;-272,10;-1253,40;1694,45
26,301657;1343,30;1094,70;72,30;1734,37
27,291600;185,10;1934,30;1066,20;2216,43
28,292841;1042,20;1176,90;665,50;1707,09
29,305559;-785,40;-165,80;-1084,40;1349,17
30,323809;-837,00;2474,40;-9,50;2612,15
31,302928;1059,00;1112,00;1219,20;1960,73
32,319021;907,90;2113,40;660,00;2392,98
33,310998;-1333,30;1012,10;-355,70;1711,30
34,291461;753,70;325,90;-239,10;855,24
35,289751;334,10;1357,00;2260,10;2657,28
36,290066;325,90;815,60;1808,50;2010,49
37,290235;74,70;48,30;-575,70;582,53
38,290456;-1410,20;2156,30;678,60;2664,36
39,290806;1180,00;1423,10;1821,20;2595,07
40,291192;999,30;1269,30;2078,90;2632,78
41,291428;-1199,70;1987,30;1020,50;2535,76
42,294245;65,40;142,40;-361,40;393,91
43,291880;90,60;404,60;1924,00;1968,17
44,298318;-38,00;-134,20;2381,20;2385,28
45,298512;189,40;254,20;28,10;318,24
46,298621;-1078,90;1251,50;798,90;1835,35
47,298767;786,80;1377,60;2196,10;2709,19
48,299015;680,50;154,30;1985,10;2104,17
49,299803;-111,70;1512,40;1957,60;2476,29
50,299866;-319,80;336,70;113,00;477,92
51,301137;-285,90;4,00;971,30;1012,51
52,300563;54,90;-1100,20;2437,50;2674,86
